Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
rookie blue,0.02,246000,-,110000,0.13,-,-,-,246000,90500,33100,33100,33100,49500,33100,33100,49500,246000,301000,246000
granite countertops,0.78,450000,-,368000,2.91,-,-,-,301000,301000,368000,450000,450000,450000,301000,368000,368000,301000,368000,368000
movie maker,0.19,6120000,-,1220000,0.59,-,-,-,1220000,1500000,1220000,1220000,1220000,1220000,1220000,1220000,1000000,1000000,1000000,1000000
coupon codes,0.43,13600000,-,11100000,0.97,-,-,-,11100000,11100000,11100000,11100000,11100000,13600000,16600000,13600000,9140000,7480000,9140000,7480000
milwaukee tools,0.83,110000,-,74000,0.84,-,-,-,74000,74000,74000,90500,74000,90500,110000,90500,74000,60500,60500,60500
restaurant coupons,0.83,450000,-,368000,1.81,-,-,-,450000,450000,368000,450000,368000,450000,368000,301000,301000,301000,301000,301000
taxslayer,0.08,90500,-,90500,0.5,-,-,-,22200,27100,165000,165000,368000,301000,22200,12100,14800,9900,14800,14800
remington 700,0.12,368000,-,301000,0.4,-,-,-,201000,246000,246000,301000,301000,368000,368000,450000,450000,301000,246000,201000
qr code generator,0.37,201000,-,74000,1.59,-,-,-,165000,135000,135000,135000,90500,74000,49500,49500,40500,33100,27100,22200
online coupons,0.61,823000,-,673000,0.97,-,-,-,673000,823000,823000,673000,550000,673000,823000,823000,550000,450000,550000,450000
nate berkus show,0.07,74000,-,74000,0.13,-,-,-,49500,74000,74000,90500,90500,90500,74000,90500,74000,135000,27100,9900
locksmith,0.63,1500000,-,823000,13.9,-,-,-,1000000,1000000,673000,1000000,1000000,1000000,823000,823000,823000,823000,823000,823000
remington 870,0.24,301000,-,246000,0.26,-,-,-,165000,201000,246000,301000,246000,301000,301000,301000,246000,246000,201000,165000
al jazeera live,0.08,823000,-,110000,0.14,-,-,-,110000,201000,165000,368000,368000,165000,18100,18100,14800,14800,14800,14800
translation english to spanish,0.06,2740000,-,2240000,0.17,-,-,-,1500000,1830000,1830000,1830000,2240000,2740000,2740000,3350000,2740000,2740000,1830000,1500000
stevia,0.51,823000,-,201000,1.8,-,-,-,246000,246000,246000,246000,201000,246000,165000,201000,201000,201000,201000,201000
erp,0.28,9140000,-,673000,7.2,-,-,-,550000,550000,550000,823000,673000,673000,550000,550000,673000,550000,550000,550000
