Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
fruit of the loom,0.68,246000,-,110000,0.81,-,-,-,90500,90500,90500,90500,90500,90500,110000,110000,135000,110000,135000,90500
big and tall,0.62,673000,-,550000,2.15,-,-,-,450000,450000,450000,673000,550000,550000,823000,550000,450000,450000,450000,368000
beach wedding dresses,0.9,135000,-,90500,0.93,-,-,-,90500,90500,90500,110000,110000,135000,60500,60500,74000,74000,90500,90500
maxi dresses,1,673000,-,201000,1.11,-,-,-,450000,450000,368000,368000,201000,135000,49500,49500,74000,90500,135000,201000
obey clothing,0.69,60500,-,49500,0.92,-,-,-,49500,49500,49500,49500,49500,49500,60500,49500,40500,40500,33100,27100
sundresses,1,246000,-,201000,1.04,-,-,-,301000,301000,301000,301000,246000,201000,74000,60500,74000,90500,135000,201000
maxi dress,0.97,823000,-,246000,1.14,-,-,-,550000,450000,368000,368000,201000,135000,60500,60500,74000,90500,135000,201000
tactical gear,0.7,110000,-,90500,0.87,-,-,-,74000,74000,90500,110000,90500,90500,90500,90500,74000,74000,74000,74000
alexander wang,0.78,301000,-,110000,1.81,-,-,-,110000,90500,90500,110000,135000,90500,165000,165000,90500,135000,110000,90500
mens underwear,0.89,450000,-,246000,1.16,-,-,-,201000,201000,201000,246000,246000,246000,301000,246000,246000,201000,201000,201000
rachel roy,0.49,74000,-,60500,0.85,-,-,-,74000,74000,74000,74000,74000,60500,60500,60500,74000,60500,40500,40500
anne taylor,0.18,1220000,-,1220000,0.2,-,-,-,1220000,1220000,1220000,1220000,1000000,1220000,1500000,1500000,1220000,1220000,1000000,1000000
t shirt printing,0.93,550000,-,201000,2.52,-,-,-,246000,201000,201000,246000,246000,201000,165000,201000,201000,246000,201000,201000
uniforms,0.46,6120000,-,3350000,1.02,-,-,-,2740000,3350000,3350000,3350000,3350000,4090000,3350000,3350000,4090000,4090000,3350000,2740000
funny halloween costumes,0.24,90500,-,74000,0.36,-,-,-,4400,2900,2900,3600,4400,6600,6600,14800,550000,135000,27100,8100
graduation dresses,0.84,165000,-,90500,0.87,-,-,-,110000,301000,201000,135000,74000,74000,33100,33100,27100,22200,22200,22200
cheap jerseys,0.72,301000,-,201000,0.91,-,-,-,-,135000,165000,165000,201000,301000,368000,301000,246000,201000,165000,110000
monokini,0.91,201000,-,90500,0.76,-,-,-,165000,165000,135000,135000,110000,74000,33100,33100,33100,33100,60500,90500
london fog,0.71,110000,-,90500,0.72,-,-,-,33100,49500,60500,90500,90500,110000,165000,135000,110000,74000,49500,33100
bridesmaids dresses,0.74,1500000,-,823000,1.12,-,-,-,-,823000,823000,1000000,1000000,1500000,673000,823000,823000,823000,823000,823000
sweaters,0.64,2740000,-,1830000,1.21,-,-,-,673000,823000,823000,1500000,1830000,2740000,4090000,3350000,2240000,1500000,1000000,823000
halloween costumes for kids,0.67,165000,-,135000,0.57,-,-,-,-,9900,8100,12100,14800,14800,14800,27100,673000,550000,165000,40500
juniors clothing,0.88,201000,-,165000,0.81,-,-,-,165000,165000,201000,201000,201000,201000,165000,165000,165000,165000,165000,165000
mens fashion,0.45,673000,-,246000,1.44,-,-,-,201000,246000,246000,301000,301000,301000,301000,246000,301000,246000,201000,201000
pediped,0.78,74000,-,49500,0.71,-,-,-,40500,49500,49500,60500,49500,49500,40500,60500,60500,60500,49500,33100
junior clothing,0.92,246000,-,246000,0.86,-,-,-,201000,246000,246000,301000,301000,301000,246000,246000,201000,201000,201000,201000
costume ideas,0.27,1830000,-,1220000,0.45,-,-,-,201000,201000,201000,246000,246000,301000,201000,301000,9140000,2740000,673000,246000
