Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
gulf shores,0.45,823000,-,823000,1.58,-,-,-,1500000,1000000,1000000,1220000,823000,823000,550000,673000,673000,550000,550000,823000
mortgage interest rates,0.92,246000,-,135000,4.34,-,-,-,110000,90500,90500,135000,135000,165000,165000,165000,135000,135000,165000,135000
lake of the ozarks,0.32,246000,-,201000,0.94,-,-,-,368000,301000,201000,246000,201000,165000,110000,110000,135000,201000,246000,368000
countrywide,0.16,450000,-,165000,1.54,-,-,-,165000,135000,135000,165000,165000,201000,165000,165000,201000,165000,165000,165000
mobile homes for sale,0.69,673000,-,450000,0.93,-,-,-,450000,450000,450000,550000,550000,550000,301000,301000,368000,368000,368000,368000
caldwell banker,0.19,74000,-,60500,0.33,-,-,-,90500,90500,74000,60500,49500,49500,33100,49500,49500,49500,49500,60500
home for sale,0.58,11100000,-,7480000,1.33,-,-,-,7480000,7480000,7480000,9140000,9140000,11100000,6120000,6120000,6120000,6120000,7480000,7480000
log homes,0.69,550000,-,368000,0.95,-,-,-,301000,301000,301000,450000,450000,550000,368000,368000,368000,368000,368000,368000
quit claim deed,0.58,135000,-,135000,1.08,-,-,-,135000,135000,110000,165000,135000,135000,110000,110000,135000,110000,110000,110000
storage units,0.84,673000,-,450000,6.69,-,-,-,550000,550000,450000,550000,550000,550000,550000,450000,368000,368000,368000,368000
rental agreement,0.67,450000,-,301000,0.82,-,-,-,368000,368000,301000,368000,301000,368000,246000,301000,301000,301000,368000,368000
storage auctions,0.61,246000,-,201000,1,-,-,-,246000,246000,301000,246000,368000,450000,550000,165000,33100,27100,33100,27100
rent to own homes,0.86,301000,-,246000,0.78,-,-,-,301000,301000,301000,368000,301000,368000,201000,201000,201000,201000,201000,201000
loan payment calculator,0.42,74000,-,60500,1.26,-,-,-,60500,60500,60500,74000,60500,74000,60500,60500,60500,60500,60500,60500
moving trucks,0.88,201000,-,165000,4.52,-,-,-,246000,201000,165000,201000,165000,165000,135000,135000,135000,135000,201000,246000
homes for sale by owner,0.68,301000,-,246000,1.01,-,-,-,246000,246000,201000,301000,246000,301000,165000,165000,201000,201000,201000,201000
prefab homes,0.87,201000,-,135000,1.6,-,-,-,110000,135000,110000,135000,135000,135000,110000,135000,110000,110000,135000,135000
chicago apartments,0.65,246000,-,246000,1.49,-,-,-,301000,301000,301000,301000,246000,301000,201000,201000,201000,201000,201000,246000
quicken loans arena,0.35,33100,-,33100,0.82,-,-,-,22200,27100,33100,74000,60500,49500,33100,27100,33100,22200,12100,18100
forrent,0.41,135000,-,110000,0.49,-,-,-,110000,110000,110000,135000,110000,135000,74000,90500,90500,90500,90500,110000
va loans,0.93,201000,-,165000,7.83,-,-,-,165000,165000,135000,201000,165000,201000,165000,165000,165000,135000,165000,165000
small house plans,0.7,90500,-,60500,0.48,-,-,-,60500,60500,60500,60500,60500,74000,60500,60500,60500,60500,60500,74000
north carolina beaches,0.54,110000,-,90500,1.49,-,-,-,165000,135000,110000,110000,90500,90500,40500,33100,49500,74000,110000,165000
short sale process,0.51,33100,-,27100,3.78,-,-,-,40500,33100,33100,40500,33100,33100,22200,27100,27100,27100,27100,22200
loan amortization calculator,0.42,40500,-,33100,0.86,-,-,-,22200,27100,27100,33100,40500,33100,27100,33100,33100,33100,40500,33100
buying a house,0.43,1000000,-,450000,2.84,-,-,-,450000,368000,450000,550000,550000,673000,450000,450000,450000,450000,450000,450000
interest rate calculator,0.71,74000,-,40500,1.45,-,-,-,33100,33100,40500,40500,40500,40500,33100,40500,40500,40500,40500,40500
finance calculator,0.55,246000,-,135000,1.49,-,-,-,110000,110000,135000,135000,135000,135000,110000,110000,135000,135000,110000,110000
refinance rates,1,165000,-,165000,7.22,-,-,-,110000,90500,74000,110000,110000,165000,135000,201000,201000,201000,246000,201000
