Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
linksys router,0.24,1000000,-,673000,1.29,-,-,-,550000,550000,550000,550000,550000,823000,823000,673000,550000,673000,550000,550000
samsung phones,0.61,1220000,-,368000,1.53,-,-,-,301000,301000,246000,368000,368000,368000,368000,368000,301000,368000,368000,368000
cell phone plans,0.89,550000,-,368000,4.58,-,-,-,368000,301000,301000,368000,368000,368000,368000,368000,368000,368000,368000,368000
flat screen tv,0.86,673000,-,550000,1.38,-,-,-,368000,368000,301000,450000,550000,673000,823000,823000,450000,450000,450000,450000
notebook,0.32,13600000,-,1830000,1.62,-,-,-,-,-,1500000,1830000,1830000,1830000,2240000,1830000,1500000,1830000,1830000,1500000
donkey kong country returns,0.12,368000,-,110000,1.02,-,-,-,-,60500,60500,90500,110000,246000,301000,301000,49500,33100,22200,22200
dr dre headphones,0.76,165000,-,90500,1.06,-,-,-,60500,74000,74000,90500,90500,110000,246000,135000,60500,49500,49500,40500
bubble town,0.15,246000,-,90500,0.26,-,-,-,90500,90500,90500,110000,90500,110000,110000,90500,90500,90500,90500,90500
mytouch 4g,0.19,368000,-,301000,1.18,-,-,-,368000,301000,301000,450000,550000,550000,550000,550000,74000,590,390,480
microsoft access,0.21,2240000,-,673000,1.75,-,-,-,673000,673000,673000,1000000,823000,823000,673000,673000,673000,673000,673000,673000
at and t wireless,0.19,823000,-,368000,0.74,-,-,-,368000,368000,368000,450000,450000,550000,450000,368000,368000,368000,368000,368000
flight simulator,0.22,5000000,-,823000,0.63,-,-,-,673000,673000,673000,823000,1000000,1000000,1000000,823000,823000,673000,823000,673000
powerpoint viewer,0.12,450000,-,90500,0.68,-,-,-,74000,90500,90500,110000,110000,110000,110000,110000,110000,110000,74000,74000
