Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
unclaimed funds,0.22,673000,-,673000,0.29,-,-,-,673000,550000,550000,823000,823000,823000,550000,550000,550000,550000,550000,550000
mortgage calculator with taxes and insurance,0.41,40500,-,40500,0.83,-,-,-,74000,49500,27100,27100,49500,60500,40500,40500,33100,27100,22200,14800
401k contribution limits,0.26,49500,-,49500,2.89,-,-,-,-,22200,33100,33100,49500,90500,90500,74000,74000,49500,33100,33100
fafsa pin,0.15,40500,-,33100,0.38,-,-,-,27100,33100,27100,49500,74000,74000,33100,22200,18100,18100,27100,22200
jim cramer,0.14,110000,-,90500,1.14,-,-,-,90500,110000,90500,110000,110000,135000,110000,90500,90500,74000,90500,74000
oppenheimer funds,0.12,40500,-,40500,1.04,-,-,-,33100,40500,49500,49500,49500,49500,40500,40500,40500,33100,33100,33100
401k calculator,0.39,49500,-,49500,5.69,-,-,-,49500,49500,60500,60500,60500,60500,49500,40500,49500,33100,33100,33100
farm bureau insurance,0.45,135000,-,135000,3.03,-,-,-,135000,135000,110000,135000,110000,135000,110000,110000,110000,110000,135000,135000
orchardbank,0.13,550000,-,550000,0.72,-,-,-,673000,673000,550000,550000,550000,550000,550000,550000,450000,450000,450000,450000
cdl,0.57,1220000,-,550000,1.32,-,-,-,673000,550000,550000,673000,550000,673000,550000,550000,550000,550000,550000,550000
debt consolidation loans,0.75,246000,-,165000,11.97,-,-,-,135000,110000,110000,135000,165000,201000,165000,201000,165000,135000,165000,165000
pci compliance,0.87,110000,-,60500,14.51,-,-,-,74000,60500,60500,74000,74000,74000,60500,60500,74000,74000,60500,60500
savings calculator,0.34,165000,-,135000,3.82,-,-,-,110000,110000,110000,135000,135000,165000,135000,110000,135000,110000,110000,110000
loan modification,0.65,301000,-,301000,5.39,-,-,-,201000,201000,201000,246000,246000,301000,301000,301000,368000,301000,301000,301000
home equity loan,0.87,201000,-,165000,7.41,-,-,-,135000,135000,135000,165000,165000,201000,165000,246000,165000,165000,165000,165000
investment calculator,0.52,90500,-,60500,3.72,-,-,-,49500,60500,60500,74000,60500,74000,60500,49500,60500,49500,40500,40500
mortgage loan calculator,0.82,74000,-,49500,2.21,-,-,-,40500,33100,33100,40500,49500,60500,40500,49500,49500,49500,60500,74000
tax refund calculator,0.41,165000,-,90500,1.54,-,-,-,9900,8100,33100,60500,201000,550000,165000,60500,40500,27100,18100,12100
flexible spending account,0.13,201000,-,165000,1.93,-,-,-,110000,110000,135000,201000,201000,246000,301000,301000,201000,110000,110000,90500
secured credit card,0.79,201000,-,201000,3.73,-,-,-,201000,165000,165000,201000,201000,201000,165000,165000,165000,165000,165000,165000
freecreditreport.gov,0.99,22200,-,22200,6.29,-,-,-,9900,8100,8100,12100,49500,60500,33100,22200,12100,8100,9900,9900
medical mutual of ohio,0.19,33100,-,33100,1.99,-,-,-,27100,27100,27100,27100,27100,40500,33100,33100,33100,33100,27100,27100
wellfargo,0.1,165000,-,165000,1.06,-,-,-,201000,165000,165000,201000,165000,165000,165000,165000,135000,135000,135000,110000
kaiser permanente login,0.14,22200,-,22200,0.22,-,-,-,27100,22200,18100,14800,27100,33100,22200,22200,22200,18100,12100,33100
private student loans,0.86,90500,-,90500,7.75,-,-,-,90500,74000,74000,74000,60500,90500,74000,74000,90500,90500,135000,135000
home loan calculator,0.82,246000,-,49500,2.01,-,-,-,60500,49500,49500,60500,60500,60500,49500,49500,49500,49500,49500,49500
emigrant direct,0.14,27100,-,27100,0.4,-,-,-,27100,27100,27100,33100,33100,33100,27100,27100,27100,27100,27100,27100
bcbsnc,0.32,60500,-,60500,3.28,-,-,-,49500,49500,49500,49500,60500,74000,60500,74000,60500,74000,60500,49500
crude oil price,0.28,246000,-,110000,0.53,-,-,-,110000,201000,135000,165000,135000,90500,60500,60500,60500,49500,60500,49500
mortgage amortization calculator,0.56,49500,-,40500,0.66,-,-,-,33100,33100,33100,40500,40500,49500,40500,40500,49500,49500,49500,49500
prepaid credit cards,0.89,165000,-,74000,4.63,-,-,-,90500,74000,74000,90500,90500,90500,90500,90500,74000,74000,74000,74000
irs 1040,0.16,165000,-,165000,1.08,-,-,-,60500,60500,450000,368000,368000,301000,74000,49500,60500,49500,40500,40500
hamp,0.28,368000,-,201000,1.74,-,-,-,201000,165000,165000,246000,201000,201000,165000,201000,201000,201000,201000,201000
2010 tax tables,0.12,165000,-,135000,0.34,-,-,-,27100,33100,301000,246000,301000,368000,165000,90500,74000,60500,49500,49500
freecreditscore,0.95,90500,-,90500,5.46,-,-,-,74000,74000,90500,135000,90500,74000,60500,60500,74000,74000,90500,90500
equity residential,0.12,60500,-,49500,0.42,-,-,-,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500
